I’m trying to get there, office locations
how can i get a copy of my child support orders, documentation
I live in fl. My sons father lives in Mississippi. I have a case open here and I'm just trying to see what your state is doing to help, interstate
Job information about the non custodial parent, support request
I recently started a claim for back court order child support. And was wondering how to check the status of it
calculator did not work,estimate payments
services,support requests
"If your license has been suspended due to back child support, how much needs to be paid to get your license back?"
how to apply,open case
Case!?,case status
when can i stop paying child support,emancipation
why have i not received my payment,not received payment
who is my caseworker,account information
Verification that I don’t have an open case,verification
My daughter is 14 can I still get support for her,emancipation
The court just gave primary custody of my daughter to me. Who do I send the court notice to cancel my child support?,terminate
I would like to find out if my ex-husbands newest paycheck information from East PERSON_NAME University has been received.
How do I get my child support caught up,enforcement
Why is child support being held out if my check I send a bank check by mail every month,not received payment
can grandparents get child support,open case
can anyone get child support,open case
How to request an increase?,support request
forms,documentation
Can you provide blank copies of forms?,documentation
WHERE CAN I GET MY COURT ORDER FROM CHILD SUPPORT FROM DIGITS, documentation
i need to get wwo
what is customer service,contact human
how do i get child support,open case
"i live in vicksburg,ms",office locations
Phone number,phone number
What is the legal age that a non custodial parent pay child support in MS,emancipation
I am the custodial parent but the father resides in Mississippi and is behind on payments. What can I do?,enforcement
What's the process to get a child support review,support request
I receive child support
Can I make my child support payments online,make payments
Do I have to go to court?,legal
Do I or the non custodial parent have to attend court?,legal
Getting income tax,taxes
I have asked for the past three years about getting his income tax.,taxes
Is on file and every time I call them no one helps me no one,contact human
"I have a 7,000 dollar balance on my case my last payment was made on April 18th he has been working and MDHS just stopped taking it out of his checks he has called and even asked them to take it I am supposed to receive 700$ monthly by court order which",not received payment
How can I see my case?,account information
how do i get verification of child support,verification
I need to know how to stop the reaccuring payments.  I have had an employee quit and it is going to continue to take out for him.
WHAT IS YOUR FAX,fax
FAX NUMBER,fax
PHONE_NUMBER IS THIS YOUR FAX FOR EMPLOYERS,fax
Yes,
what is the rate,
Can my child gets it support directly paid to them,make payment
parental right
family violence
Can you send me the PERSON_NAME address,office locationss
How can MDHS collect on a withholding order and from my bankruptcy?
Can my child still receive assistance after she turns 21?,emancipation
"Ok, thank you",gratitude
"I already have it set for direct deposit, I haven't received payment in 4 months",not received payment
i have a question i am getting paid less than what i used to get paid do i have to take my other party to court or can i just send copy of my paychecks and you can take care of the resertification,support request
Child support card replacement,card
I was told I could not get a SNAP because child support stated that I have not cooperated with them so I need an appointment to determine what's wrong,snap
I have a case,case status
Contempt order
I HAVE THE APPLIACTION BUT I RECIEVE EBT SO HOW DO I GO ABOUT THAT
How can I get a list of payments made?,support request
I'm working out of town in PERSON_NAME and am buying a place in Tennessee. So could it be sent here instead? Please and thank you.,interstate
Do I have to bring the original copy of my son’s birth certificate. Or can it just be a copy?
I need a ms verification of child support enforcement form,verification
"email for disbursement unit in PERSON_NAME, MS?",email
Fax # please,fax
nonpayment of court ordered child support,not received payment
PERSON_NAME POPE
Can you please call me,contact human
I am not the non custodial parent
i got to go up there but I went last week and they told me system was shut down for me to find out if it’s uo and running so I can go up there...
contempt packet
please add more faqs
yes im trying to see the number for tunica county child support office since its been move,phone number
paymetns
Thanks for help!,gratitude
Can you email it to me,email
Are money gram payments processed in same day,make payments
nobody answers that number,complaints
where do I send completed documents?,online action
I have a charge of $120 on my credit score and all 3 of my sons are over 18 the youngest one is 23  how do I owe you this,fee
what is the address,office locations
Do you know who this family contacts for assistance temporarily
What time do payments be post to card,card
Contempt order
"Canton,MS",office locations
I am aware and know personally a.couple and 2 small children who are homeless.the ha e been going frim place to place to get shelter.they have no ID's getting money from begging to stay . Sunset inn.they are there now..no money have to get out.kids 3 & 5
I'm the constodial parent
I'm at the child support officr in Indiana and they need to speak with a customer service rep,contact human
I have a question about my case but don't know how to directly get in contact with my case worker,account information
Questions about a case that has been sitting for 3 yrs now,case status
How long funds on card,card
I dont get to see my son what should I do,visitation
Hi glen I want to know why am I still receiving partial payments a month,not received payment
Yes! Who do I talk to about getting the non custodial parent arrested?,incarceration
❓
I'm not sure trying to put my son father on child support. He's not helping me take care of him.,open case
Can child support order paternity test for a unwedded mother,paternity
I was wondering why haven't i heard anything back from when i applied last year
Can child support be paid be debit card/ credit card?,card
How can I speak to a respresentive,contact human
Trying to see how can I get a print out of my child support payments,documentation
Is there anything pending to my account,account information
I received a letter with a case #. I need to know who to speak to via voice? Do you have a phone number,phone number
Child support form 941 and 943/643 can be located where?,documentation
The father is working but getting paid under the table.  What should  be done?
My child support is coming out of my paycheck and I have a payment plan for arrears can I get a passport,arrears
Proof of payment,verification
I am trying to find out how can I access proof of child support payment received,verification
If the employer is taking withholding wages from the noncustodial parent check but not sending the child support payments in to the state what action can the legal guardian take against the employer
"I think I need you to e-mail me an application for opening a child support case.  I was divorced in Florida, but now live in MS and my ex-husband lives in South PERSON_NAME.  He has been paying child support to the Florida Disbursement Unit but quit."
Is there not a site i can access child support info,account information
at this time i'm looking at whats available to me
What's the DIGITS number to child support,phone number
I neeed a copy of the most reason,documentation
Log on,online action
Western Union payment's,make payments
"I have been receiving child support, but it’s not consistent. So what can I do?",not received payment
How can I see my case online
Where my DIGITS dollars,account balance
what is the PERSON_NAME address,open case
What do u do?
What do you do when the father clearly wants to see their child and the mother won’t let him? He’s been paying daycare payments until he lost his job. He’s not on child support but has a honest desire to be in his son’s life.visitation
custodial
I have a question
How much is it to start a case,open case
change of address,support request
I got a letter from Medicaid saying that if I didn’t follow up with child support my daughters insurance would be cut off but I don’t want child support because me and her father live together and he supports her fully
Ok I now have custody of my granddaughter who is supposed to be receiving child support. It is still in her mothers name I need to get it switched to me and the father is over $DIGITS behind
what are their hours of operation
Who can i call to ask what is going on with my payments,payment timelines
How long is the process after filling out your application
When is my child support payment due?,payment timelines
I am currently receiving payments on a card however haven’t received any back support but the non custodial parent has paid it,card
I have not received a new one,card
My baby's father has not paid child support since DIGITS. My baby was born in DIGITS. He only made like 3 payments and now he is getting paid under the table. His balance is over $DIGITS. What do I need to do?,enforcement
HAVE NOT RECEIVED MY CHILD SUPPORT PAYMENT FOR JUNE YET,not received payment
I AM TRYING TO SEE WHY MY MONTHLY PAYMENT HAS NOT REACHED MY EPPI CARD YET,not received payment
How do I know if the other parent has paid?,verification
Well I was trying to see how to get action taken on my case because my child support is about 9 months behind,enforcement
How do I get proof of compliance with child,verification
My payment is not showing,account balance
i hope so
did the attoney get back about my case,legal
What is mdhs disbursement unit
when i hover over the payment options as an employer  it doesn't take me anywhere to set up the payments...
need to speak to representative,contact human
My husband recieved a letter about a child support case in TX but the case is currently open in MS. How do we get the TX case closed?,interstate
Yes are you from PERSON_NAME ms
Do u need a layer
DNA Testing,paternity
How can i check notices online,case status
My son is 21 and incarcerated should i still be paying child support,emancipation
Child does not live with mother
Child no longer lives in Mississippi,interstate
I’m wondering how long do parents have to be separated before filing for child support
Checking to see if I was sent a certified letter
How do I report a new job for noncustodial parent,support request
Website assistance,online action
Website is not working to process bank withdrawal information,online action
I've never heard of paying money to start a case,fee
I have to print and mail it?
I'm not sure I understand the differences, insufficient response
What should or can I do with issues about seeing my son or spending time with him he live there and I live in PERSON_NAME and travel as of right now,visitation
I'm trying to figure out the child in reference to my federal tax return they kept for child support that I wasn't aware I was supposed to be paying,taxes
Is there a printable 508 form?,documentation
I'm just trying to figure out why child support payments are not taken from the absent parents check,not received payment
I have a question
Yes
Check the status of my case,case status
My case is supposed to transferred from the state of Indiana to the state of Mississippi and I’m wondering how long that process takes before I’ll start getting child support, interstate
Need to know how much im behind,support request
how long after all children have turned 18 do the support continue,emancipation
Do I have to write another letter for a raise in child support,support request
How do I find out if my child's father is on child support for my child?,account information
THANKS,gratitude
Child care voucher, child care
390
This will not put me behind will it
"Yes, during the initial interview, what all takes place?"
The wait time is too damn long.,complaints
I can't access the ipay,login
If a support payment is made to dhs on a Thursday. What banking day can the custodial parent expect to receive it, payment timelines
I'm on child support but my child has been living with for a few months now. What should I do?
Ive been signed up to put my partner on child support but i never heard anything since and its been 4 years,support request
I don’t know what these options mean,insufficient response
Can you tell me how it works when my child’s mother goes thru DHS to collect child support. Will I get served with paperwork when the court order is made?,legal
My fiancé was married to a woman who cheated on him and had a baby. She had her boyfriend sign the birth certificate. She is now receiving food stamps and is married to the boyfriend. Can he request a paternity test?,paternity
Custodial parent is not respecting visitation agreement,visitation
I need to know what number do I call to c if any payments have been made,phone number
may I have the fax number to submit a change of address,fax
Can you tell me when that last payment was made?,account information
Im trying to pay child support i dont know my mets id case number,case number
I'm just trying to take him off child support and he just pay me in cash,terminate
How can I take my son father off child support,support request
I just have a question
I'm here to report fraud on PERSON_NAME county, legal
I’ve already paid my $25 fee,fee
What do I need
The local phone number,phone number
phone number,phone number
"What can I do when the Child support dept. that is supposed to be collecting my support is not doing their job & staying on top of it , & I am giving them all the Information & they are not following through?",complaints
Looking for a local fax number in Greenville ms,fax
When do you receive the initial debit card?,card
When do you receive the 1st card?,card
im gonna call,contact human
I receive payments through a Debit Card but haven' t received any in a while. How can I check on that?,not received payment
How long after opening a case does it usually take to hear something regarding the case?,open case
I was on Tanf because my sons biological father was unable to be located and never helped me financially. Does this absent parent status terminate his rights?
Address change,support request
i am looking for a fax or email to submit a medical insurance support orders for one of my employees.
phone numberr,phone number
this site sucks,complaints
'what is the address,office locations
address,office locations
my card is expiring I do not have a new one,card
hattiesburg ms,office locations
child support enforcement agency address AND phone,office locations
I need to speak to someone about my eppicard.  It expires this month and I have not received a new one,card
Phone number,phone number
Phone number,phone number
Contact info,contact human
yes I need to know how to get a new form with our employees on it  and the amounts to send in each pay period,documentation
contact number,phone number
Yes
A girl said that she has a child that she thinks is mine but even if it is and I pay child support that I can't see her. Is this true
Yes
what is the fax number to send a child support verification form to from a goverment agency
I am already registered and set up on ipayonline. I had to do a reset password but I don't see where I can change the password to something I can remember,online action
Representative,contact human
what if they child is over 21,emancipation
Neither
I have not received child support for my children yet. Their father has told me that child support was taken out of his check twice but I have not received it thru the card., not received payment
I started a case a few months ago and never heard anything back,support request
I have requested a review on my case and checking the status,case status
Location on county line road?,office locations
Ipay,make payments
My phone is off at the moment
I’m looking for something called ipay,make payments
If the child's father does not work what is the amount he would have to pay?,estimate payments
thank you,gratitude
is there a phone # i can call in PERSON_NAME ms to talk with someone about our case ?,contact human
Very
Full Services
I'm just trying to figure out why I'm being charged twice for one child all of a sudden
Whats my tatol case US_SOCIAL_SECURITY_NUMBER
Hi PERSON_NAME. What is the normal time frame that payments received from income tax to be deposited on your card?,payment timelines
Hi PERSON_NAME. What is the normal time frame that payments received from income tax to be deposited on your card?,payment timelines
How much am I getting,estimate payments 
Other help
"By giving you the case number, can I find out which child the money is for? My husband isn’t here and I need if this is the right one",account information
Procedures to get blood test,paternity
"My estranged husband has two children with me and he isn’t paying me anything and threatened that if I go after him for child support, he will start paying on all 4 of his kids to keep mine from getting the 22% they deserve. Can my kids support be dec"
Speak with a representative,contact human
How can you know if you have child support if you have no card,card
Cell number to card,card
Can  I get the 1 877 number,phone number
My son is PERSON_NAME ho he has gone to court sign all papers and child support got him in debit for DIGITS dollars what can I do
No
Tryn to see about my existing account with my funds, account balance
no
What day of month is support due, payment timelines
Do I have to pay full monthly obligation if I don’t work currently,support request
US_SOCIAL_SECURITY_NUMBER
I have a notice of income withholding on a man that is no longer working for us.
What’s the DIGITS number,phone number
Parenting time,visitation
Trying to get a copy of 1year payments of child support,documentation
What is the number to call to find out if a payment had been made,phone number
I was trying to see how can i get child support removed,terminate
i can never get anyone on the phone or an update on my case. i have given the employment info and all of my exhusband several times since oct. DIGITS still nothing.,complaints
What’s goes on money order when sending off a child support payment,make payments
I’m sorry my name is PERSON_NAME ward
I am trying to help a client of mine get a copy of a child support order that he is paying arrears on?,documentation
I have made payments that are not showing on my acct,account information
i want to know how can I get documents without going to a office,documentation
My child father wants to get a DNA test after 2 years of my son being born! He is already on child support. How much will he have to pay? And who do we need to contact?, paternity
PHONE NUMBER,phone number
"I need a replacement debit card, I no longer have the one that was sent last time.  I've been on hold forever several times trying to talk to someone.", complaints
"I need a replacement card, I no longer have the debit card that was sent last time.  I've been on hold forever several times to talk to someone and still can't get anyone.",complaints
Do I have to use a private attorney,legal
He works but he gets paid cash
I'm not sure what I need
My card balance is 0 and I haven’t received child support since April 5.,not received payment
How can I retrieve my payment?,account balance
Back time child support from a parent in PERSON_NAME,arrears
Over paid,refund
Still not picking the phone up,complaints
This is PERSON_NAME an am trying to get print out of my childsuppurt. Cause i need that information for a house am trying to get PHONE_NUMBER i been call back to back an can not get any one onlie,verification
I am trying to locate the lee county office in Tupelo ms,office locations
Can you receive child support if yourarried,open case
Trying to update my case worker with the non-custodial parents new employment.,support request
Number,phone number
I’m trying to get information in absent parents,open case
On behalf of my case. I was trying to see wat i have to do bout the absence parent have start receiving Ssi this month.,open case
Kind of. I have a few questions.
How do I start a case and what is needed,open case
I leave in texas and my sons dad in Mississippi I need to know my rights,interstate
What number do I call if I have questions about child support papers I have filed?,phone number
print it,documentation
"Will DHS go by what's in our Court Order? As in, will my payment amounts and due dates stay the same?",legal
"I have full legal and physical custody, issued by a Court Order. This Order also has a set amount and due date for child support to be paid to me by the noncustodial parent.",legal
Hey is there anyway i can access family cvontribution forms online,documentation
I have a case but havent received a new card. Can u tell me why?,card
Can u tell me if i have anything  pending,case status
Yes I just got switched to every two weeks pay and I need to get new paperwork sent to me so I can adjust that coming out of my paycheck
Yes I’m trying to check my payments,support request
Yes I have a question if a CHILDSUPPORT case is sent to legal department what does that mean? I filled a enforcement on the non constitutional parent
delinquency,not received payment
is my case still active,case status
do I apply by email or what,open case
where to file in picayune
Do I get 20 percent  with 2 kids, estimate payments
I got 70 dollar from child support
How do you know if you're caught up with your rear balance,arrears
"I don't owe any rears, so the extra should go on my check",arrears
"I'm cleared with my back pay, trying to see how can I get the money that's owed to me",payment timelines
My son turned 21 on 5/6/19. Yet the support is still being taken from my paycheck.,emancipation
Can u hope with p
"we already receive child support, but do not accually get the money. wanted to see if there was a balance due to us?", not received payment
Termination,terminate
How does a parent go about getting a modification, support request
New card,card
how do I acquire information via online concerning my case?,support request
Can not find the one in ridgeland,office locations
What is their number,phone number
What’s the number,phone number
"Is there a faster way to report employee terminations such as email, etc?", support request
I think my kids father is making more money now... is there anyway that can be reviewed, support request
I need help with establishing paternity questions,paternity
I am the non custodial parent
My sons father only pays child support when he feels and he need to be consistent. I need to know what I can do about this situation, enforcement
I Was Trying To See What Happens At  A Child Support Hearing?
Trying to renew my passport for work and there is a hold on my passport because of pass due child support I was not aware of.  Mother of the child will not work with me. What are my options.
My name is PERSON_NAME and I was wanted to know how much do I owe and how much I have paid,support request
I was looking for a direct line to the Pascagoula office located on STREET_ADDRESS, phone number
I have a change of address,support request
How do I find out if I received a payment for back child support? My ex husband called and said that money was taken from his SSI., not received payment
Can I have the child support hotline direct number?,phone number
number to call,phone number
Where can I find my case number to register online?,case number
disregard... i thought i would have a solution today
modification,support request
who can I directly speak to about my case?,contact human
who do i get in touch with to figure out what’s taking so long for my case,contact human
Yes I have a question.. wouldn’t I be required to pay child support until my child is 18 UNLESS he’s in school all the way to 21 ? Is that correct ?,emancipation
yes why are you even offering this service if you cannot answer the ?
My child support case has been closed but I am told in my home state that I can have it reopened?,support request
That is all
I want to know how I go by getting my court order paper that the father was agreed to pay,legal
Paper work,documentation
Just need the DIGITS to check rears and all,arrears
Yes I’m here to report an employmer for my kids father, support request
And all I would need is something showing that my arrears is caught up to close because that's what the VA requires but none seems to be able to help me get this done. This is the only time I have to get this done before leaving.,arrears
In
Check my balance,account balance
whats the the law for the emancipation,emancipation
when do may child support payment stop,payment timelines
EMAIL_ADDRESS
NOW I HAVE AN EPPICARD ACCOUNT. ISN'T THERE A WAY TO LOOK FROM MDHS'S SITE?,online action
Deion PERSON_NAME
Yes. Trying to find out about my case. It’s been over 6 months and I still haven’t gotten a court date,case status
n/a,insufficient response
I have a case against PERSON_NAME but do not know the case number,case number
I have a child support case and it has been years since anything has been done on it.,case status
My child support got raised on court last month an child’s father job sent y’all one the payments an I haven’t got it, not received payment
yes. Can I send my info or I have to come in ?,online action
Yes
Updated a address with child support,support request
Neither
does the social security amount include medicare
It has income tax/social security/retirement/childsupport,taxes
View child support order online,online action
Lookup
I'm trying to see how far behind I'm in child support cause they took the time gettin it set up
My email
Yes I was just wondering when are child support payments available on the EPPICard?,payment timelines
How long do offsets takes
Waiver form,documentation
Need to know the date I will receive payments, payment timelines
Trying to get a DNA test,paternity
Yes Can the $25 fee be paid in cash,fee
My sons stepmother submitted a payment online yesterday and I was trying to figure out how long it would take for me to actually receive the payment., payment timelines
From Louisiana and I move here, interstate
If I have a court order from my divorce do I have to change it over to DHS to collect child support?
my taxes were taken for child support and the other person involved hasn't received any payment yet
Trying to see why I haven’t receive my support, not received payment
I was wondering could I access my court order for hold support online? My son’s father is badgering me about helping him pay for my son’s summer camp while he’s with him this summer.
No
I haven’t received a child support payment since April 24,not received payment
Location to child support in Vicksburg MS,office locations
I am just trying to see why I cannot log into my account to pay child support,login
My name is PERSON_NAME and I just want to let mdhs know I’m working at Merithealth central in PERSON_NAME ms now,support request
Trying to see why I haven’t received a payment since 2/22/18 and non custodial parent has 2 jobs, enforcement
Checking on back time child support payment, arrears
How can we verify that the payments are being credited to his children's cases?,support request
"No, I'm just looking for any amendments to the RFP. Would that be in this page subpages?",insufficient response
can you apply online?, open case
health isurance
why would dhs put my child on er father's health insurance when I do not recieve child support
Sign in to check my account,login
What's the DIGITS number where I can talk to someone,phone number
Can I get a form stating how much child support I should be getting,verfication
I am trying to get the results of my court date on the 5/30/19,legal
"I am curious if I can have my ex's wages garnished for Child Support.  I do not believe he is paying the minimum required by the state.  We made an agreement when we divorced, but he did not have a steady job at the time."
Why can't I just talk to a human,contact human
Hi  I am trying to find the Mississippi child support statutes. Can you tell me what to look under?
What's the number where I can talk to a representative,phone number
I have not received payments on my eppicard, not received payment
I have not received my card yet. I was trying to see was it on its way?,card
Enforcement of Mississippi order,enforcement
Why is my money posted but not posted on my card,card
Im the pare t whos getting child support,
is there a place to see back child support owed,support request
I have my daughter on child support and I just had a baby so if I put her on how does that works like does more comes out of his check.
is there a way to look online to see what amount of back child support is owed,support request
I was just wondering if child support pauses when the other parent has 1 month with my child for the summer?
My husband started a new job and I need to know where to tell his employer to mail the child support payments that he deducts from his payroll check, support request
what is the contact information to call someone in regards to this matter?,contact human
customer service rep,contact human
Real person, contact human
How do I talk with a real person?,contact human
How are you?
I am trying to see why i haven't received any updates on my case of payment. my son is about to 10 ad has had an ongoing case since he was 1 year old.
Hours of operation,office locations
Can i speak to a customer service rep, contact human
What is your address,office locations
Where can I mail my child support payment,make payments
custodial parent
I’m trying to figure out what my case number is!, case number
How can you get sole custody?, legal
Getting sole custody, legal
"My name is PERSON_NAME I work for Attorney PERSON_NAME DeBar and I have an Order Terminating Child Support we have fax, mail and he is still getting child support taken out of his check how can I send the Order"
Number to talk to worker,phone number
finding out a court date,legal
statement,verification
child susport statements,verification
Trying to see why I’m not getting anything anymore??, not received payment
Change of address,support request
Trying to see how to change my address so I can get a card sent because I never received one 3 yrs ago when I filed and I just moved and finally have received a payment
All automated no answers,complaints
🌙
I have done a snap shot of this chat so others can see how nothing will be done,complaints
Legal department,legal
Who else can be contacted,contact human
That number has no information, complaints
I already have filled out court packet twice since DIGITS,legal
No payment on arrearage order in 12 months,arrears
Yes I do
No
is there a fax number to send information to,fax
Change of Employment Status,support request
revision, support request
How do I report where my ex-husband is working so the process can get started on child support going again?, support request
If the payment was made the day before when will it post to my card,make payments
I'm looking for an over payment i made few months back i never was entitled to.,refund
Trying to setup online account,online action
copy of payment history,support request
Yes I’m looking for a customer service phone number,phone number
What is the age for emancipation for MS?,emancipation
what is the emancipation age for the state of ms?,emancipation
what is the emancipation age for the state of mississippi?,emancipation
What is the age for emancipation for MS?,emancipation
when can i stop paying child support?,emancipation
when does child support terminate?,emancipation
when does child support stop in ms?,emancipation
My is 20 and no longer living with their gaudian,emancipation
What is the age for emancipation for MS?,emancipation
my child is 18 years old,emancipation
my child is 18 when does child support stop,emancipation
what is the age of emancipation?,emancipation
emancipation age,emancipation
ok
done
finished
no more questions
what are the consumer credit protection act guidelines?
what are the ccpa guidelines?
what are the guidelines
was not able to get license suspension information
license suspension,
Is there anything that ca be done about this as long as he is being paid cash on purpose, enforcement
I'm looking to see why I could find out why my ex husband owes me over DIGITS dollars but nothing is getting done about it.  He is a 1 1/2 years behind but they started taking from his check past two months but nothing this month?? And nothing has been post
Is there a way to change my address online?,support request
Yes if i take someone off of child support can i put them back on if we have a new child together,open case
How can I enforce child support on my child's father,enforcement
I am trying to make a payment with a debit card,make payment
My court hearing is this Thursday to determine support/visitation.  How long after that can I expect to receive child support?
I have a question regarding college expenses. Can you help me?
yes. i need a card,card
What if my monthly income has changed,support request
change last name of child,support request
no
notices
bills
Child support web-based bills,online action
I'm trying to get to where I can view my child support letters online.,online action
When is payment disbursed, payment timelines
"i have a 15 year old who has never received child support bio father is retired military, can DHS still get the funds or do i need to contact military"
Yes
Ipay,make payments
How to log in ipay,login
Cant log in,login
I haven't received child support in close to two years.,not received payment
I got hurt at work then fired. I have no income. How do I modify my order?,support request
How old can a child receive child support legally,emancipation
How can i sighn up to recieve a card to recieve payment,card
I jave a case i was suppose to get deposited today but i dont know where,not received payment
I have a question
non custodial parent
I’m needing support obtaining payment history can you help,support request
custodial parent
what is a custodial parent?
"Yes, afternoon Gen"
How do Ik a payment,make payments
